"Story","Title","Result","Date","Stability","Duration (s)"
"Inicio sesion usuario","Inicio sesion exitoso","SUCCESS","2023-08-13T14:41:12.7286769-05:00[America/Bogota]","0.0","81.33"
"Agregar un producto exitosamente","Agregar producto al carrito","SUCCESS","2023-08-13T14:42:37.1345959-05:00[America/Bogota]","0.0","70.95"
