"Story","Title","Result","Date","Stability","Duration (s)"
"Inicio sesion usuario","Inicio sesion exitoso","ERROR","2023-08-13T14:32:47.7990165-05:00[America/Bogota]","0.0","59.88"
"Agregar un producto exitosamente","Agregar producto al carrito","ERROR","2023-08-13T14:33:48.49203-05:00[America/Bogota]","0.0","45.83"
